class_id,class_name,Instances,YOLOv11_baseline_Predictions,YOLOv11_baseline_Precision,YOLOv11_baseline_Recall,YOLOv11_baseline_AP50,YOLOv11_baseline_AP50-95,ECAFA_YOLO_Predictions,ECAFA_YOLO_Precision,ECAFA_YOLO_Recall,ECAFA_YOLO_AP50,ECAFA_YOLO_AP50-95,ECAFA_YOLO_KD_Predictions,ECAFA_YOLO_KD_Precision,ECAFA_YOLO_KD_Recall,ECAFA_YOLO_KD_AP50,ECAFA_YOLO_KD_AP50-95,AP50-95_improvement_ECAFA_vs_baseline,AP50-95_improvement_KD_vs_baseline,AP50-95_improvement_KD_vs_ECAFA,AP50_improvement_KD_vs_baseline,AP50_improvement_KD_vs_ECAFA
27,il80,38,153,0.24183006535947713,0.9736842105263158,0.8332228213427876,0.7052628491277496,129,0.29457364341085274,1.0,0.9087183521321179,0.7853953111278373,110,0.34545454545454546,1.0,0.9615764733133153,0.8224717147864755,0.08013246200008772,0.1172088656587259,0.03707640365863818,0.12835365197052773,0.05285812118119737
28,pb,10,170,0.052941176470588235,0.9,0.4749837157433507,0.4080951417244013,166,0.05421686746987952,0.9,0.687440685169601,0.596701446643013,87,0.10344827586206896,0.9,0.6789851097178685,0.5742763061650994,0.18860630491861163,0.16618116444069808,-0.022425140477913552,0.20400139397451783,-0.008455575451732478
29,pbm,10,410,0.02195121951219512,0.9,0.1431289574043129,0.11260996905516647,293,0.027303754266211604,0.8,0.08967551466510931,0.07103781744159879,198,0.04040404040404041,0.8,0.25029650378731594,0.1913037328787609,-0.041572151613567684,0.07869376382359443,0.12026591543716211,0.10716754638300305,0.16062098912220663
30,pm40,1,62,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ph4,18,359,0.04178272980501393,0.8333333333333334,0.3425996059605624,0.30734674150466434,313,0.04792332268370607,0.8333333333333334,0.5637069851760103,0.4771507705037258,192,0.08333333333333333,0.8888888888888888,0.6200723335488042,0.503896798743536,0.16980402899906144,0.19655005723887164,0.026746028239810204,0.2774727275882418,0.056365348372793944
32,w45,2,67,0.029850746268656716,1.0,0.5213157894736843,0.41480164964650434,19,0.10526315789473684,1.0,0.995,0.796,24,0.08333333333333333,1.0,0.995,0.796,0.3811983503534957,0.3811983503534957,0.0,0.4736842105263157,0.0
33,i4,100,702,0.13105413105413105,0.92,0.740429878893578,0.5237883871007237,677,0.1432791728212703,0.97,0.8544724121831494,0.5977772370484021,500,0.19,0.95,0.8888947109463389,0.6458514211078701,0.0739888499476784,0.12206303400714635,0.04807418405946795,0.14846483205276084,0.034422298763189474
34,pl70,22,463,0.0367170626349892,0.7727272727272727,0.5027400047281843,0.41572218580107156,420,0.04523809523809524,0.8636363636363636,0.4817164162309506,0.36437847075747704,263,0.06844106463878327,0.8181818181818182,0.5304791769390759,0.42478721312536616,-0.05134371504359453,0.009065027324294594,0.06040874236788912,0.027739172210891616,0.0487627607081253
35,i14,1,45,0.022222222222222223,1.0,0.995,0.8955,55,0.01818181818181818,1.0,0.995,0.9949999999999999,28,0.03571428571428571,1.0,0.995,0.9949999999999999,0.09949999999999992,0.09949999999999992,0.0,0.0,0.0
36,p29,4,219,0.0182648401826484,1.0,0.14832833832833833,0.14065569732778638,247,0.016194331983805668,1.0,0.2839226270805218,0.25073774179037334,192,0.020833333333333332,1.0,0.4147463768115942,0.3806714221014493,0.11008204446258696,0.2400157247736629,0.12993368031107594,0.26641803848325585,0.13082374973107241
